GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC08,HC02_EST_VC09,HC02_EST_VC10,HC02_EST_VC11,HC02_EST_VC12,HC02_EST_VC13,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC17,HC02_EST_VC18,HC02_EST_VC74,HC02_EST_VC75,HC02_EST_VC76,HC02_EST_VC77,HC02_EST_VC80,HC02_EST_VC81,HC02_EST_VC82,HC02_EST_VC83,HC02_EST_VC84,HC02_EST_VC85
Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
0400000US01,01,Alabama,(X),4.7,10.0,30.9,21.7,8.2,15.4,9.1,85.3,24.5,30.4,16.4,11.8,4.4,(X),(X),(X),(X),(X),(X)
0400000US02,02,Alaska,(X),2.7,4.9,27.6,27.3,8.5,18.6,10.4,92.4,29.0,20.3,12.7,6.3,2.7,(X),(X),(X),(X),(X),(X)
0400000US04,04,Arizona,(X),5.9,7.6,24.2,25.3,8.6,17.8,10.7,86.5,28.4,29.7,16.5,11.0,5.4,(X),(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,(X),5.2,9.2,34.3,22.6,6.7,14.1,7.9,85.6,22.0,28.2,16.1,12.3,4.5,(X),(X),(X),(X),(X),(X)
0400000US06,06,California,(X),9.7,7.8,20.6,21.5,7.8,20.4,12.2,82.5,32.6,24.4,15.0,10.5,5.2,(X),(X),(X),(X),(X),(X)
0400000US08,08,Colorado,(X),3.6,5.2,21.6,21.8,8.4,24.8,14.6,91.1,39.4,22.8,11.7,9.0,4.3,(X),(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,(X),4.2,5.6,27.2,17.0,7.6,21.5,17.0,90.2,38.4,24.1,10.7,7.5,3.4,(X),(X),(X),(X),(X),(X)
0400000US10,10,Delaware,(X),3.6,7.1,31.2,19.3,7.8,18.0,12.9,89.3,31.0,21.8,12.9,8.1,3.4,(X),(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,(X),4.0,5.8,17.6,13.0,3.1,23.8,32.8,90.3,56.6,33.3,25.2,16.9,5.6,(X),(X),(X),(X),(X),(X)
0400000US12,12,Florida,(X),5.1,7.3,29.0,20.4,9.8,18.2,10.3,87.6,28.5,26.9,15.6,10.7,6.0,(X),(X),(X),(X),(X),(X)
0400000US13,13,Georgia,(X),5.0,8.7,28.0,20.8,7.5,18.6,11.4,86.3,29.9,29.4,16.4,11.4,4.6,(X),(X),(X),(X),(X),(X)
0400000US15,15,Hawaii,(X),3.8,4.6,27.8,21.4,10.5,21.2,10.8,91.6,32.0,18.8,12.0,8.3,4.7,(X),(X),(X),(X),(X),(X)
0400000US16,16,Idaho,(X),3.7,6.1,27.4,26.6,9.5,18.2,8.5,90.2,26.8,22.2,14.0,10.5,5.2,(X),(X),(X),(X),(X),(X)
0400000US17,17,Illinois,(X),5.2,6.3,26.3,20.9,7.9,20.5,13.0,88.6,33.4,23.4,13.7,10.0,4.4,(X),(X),(X),(X),(X),(X)
0400000US18,18,Indiana,(X),3.8,7.9,33.8,20.7,8.5,16.1,9.2,88.3,25.3,25.3,12.2,10.1,4.1,(X),(X),(X),(X),(X),(X)
0400000US19,19,Iowa,(X),3.2,5.0,31.5,21.3,11.3,18.7,9.0,91.8,27.7,22.4,10.7,8.3,3.6,(X),(X),(X),(X),(X),(X)
0400000US20,20,Kansas,(X),3.7,5.8,26.2,23.6,8.3,20.6,11.7,90.5,32.3,22.8,12.4,9.3,3.5,(X),(X),(X),(X),(X),(X)
0400000US21,21,Kentucky,(X),6.1,8.7,33.1,20.9,8.0,13.6,9.6,85.2,23.2,33.1,16.5,12.5,4.5,(X),(X),(X),(X),(X),(X)
0400000US22,22,Louisiana,(X),5.4,10.3,33.8,21.3,5.8,15.3,8.1,84.3,23.4,32.3,17.2,12.8,5.0,(X),(X),(X),(X),(X),(X)
0400000US23,23,Maine,(X),2.8,5.1,32.3,19.5,10.0,19.3,10.9,92.1,30.3,27.1,14.6,9.6,4.2,(X),(X),(X),(X),(X),(X)
0400000US24,24,Maryland,(X),4.1,6.1,25.1,19.2,6.5,21.0,18.0,89.8,39.0,20.4,11.0,7.3,3.2,(X),(X),(X),(X),(X),(X)
0400000US25,25,Massachusetts,(X),4.6,5.1,24.7,15.8,7.7,23.4,18.7,90.3,42.1,24.9,12.0,8.7,4.2,(X),(X),(X),(X),(X),(X)
0400000US26,26,Michigan,(X),3.0,6.7,29.3,23.6,9.3,17.1,11.0,90.2,28.1,28.9,14.8,11.0,4.5,(X),(X),(X),(X),(X),(X)
0400000US27,27,Minnesota,(X),3.0,4.2,25.4,21.5,11.1,23.0,11.8,92.8,34.8,24.6,10.7,7.6,3.1,(X),(X),(X),(X),(X),(X)
0400000US28,28,Mississippi,(X),5.6,11.0,30.4,22.6,9.1,13.3,8.0,83.4,21.3,33.0,19.6,14.1,5.4,(X),(X),(X),(X),(X),(X)
0400000US29,29,Missouri,(X),3.4,7.4,30.9,22.4,7.7,17.5,10.7,89.2,28.2,27.6,13.4,10.5,4.2,(X),(X),(X),(X),(X),(X)
0400000US30,30,Montana,(X),2.1,5.0,29.3,24.2,8.8,20.6,10.1,93.0,30.7,23.7,14.1,11.3,5.2,(X),(X),(X),(X),(X),(X)
0400000US31,31,Nebraska,(X),4.1,5.0,26.7,23.4,10.2,20.4,10.2,90.9,30.6,23.5,10.8,8.4,3.3,(X),(X),(X),(X),(X),(X)
0400000US32,32,Nevada,(X),5.9,8.3,28.3,25.8,8.1,15.6,8.1,85.8,23.7,21.4,13.4,9.9,5.8,(X),(X),(X),(X),(X),(X)
0400000US33,33,New Hampshire,(X),2.2,4.9,28.0,18.8,10.0,22.3,13.8,92.8,36.0,17.5,8.6,6.5,3.1,(X),(X),(X),(X),(X),(X)
0400000US34,34,New Jersey,(X),5.1,5.7,27.9,16.6,6.5,23.4,14.7,89.2,38.1,22.4,11.5,8.0,3.5,(X),(X),(X),(X),(X),(X)
0400000US35,35,New Mexico,(X),6.5,8.5,26.4,23.5,8.2,15.1,11.8,85.0,26.9,34.0,18.9,14.8,6.6,(X),(X),(X),(X),(X),(X)
0400000US36,36,New York,(X),6.5,7.4,26.3,15.9,8.7,19.9,15.4,86.1,35.3,29.0,15.0,10.7,5.2,(X),(X),(X),(X),(X),(X)
0400000US37,37,North Carolina,(X),4.9,8.2,26.1,21.7,9.3,19.2,10.6,86.9,29.9,29.8,15.4,11.2,4.2,(X),(X),(X),(X),(X),(X)
0400000US38,38,North Dakota,(X),3.3,4.4,27.1,22.7,13.5,21.1,7.8,92.3,28.9,21.1,10.9,7.5,3.3,(X),(X),(X),(X),(X),(X)
0400000US39,39,Ohio,(X),2.9,7.3,33.6,20.5,8.5,17.0,10.2,89.8,27.2,28.2,13.4,11.0,3.9,(X),(X),(X),(X),(X),(X)
0400000US40,40,Oklahoma,(X),4.2,8.3,31.5,23.6,7.6,16.6,8.3,87.5,24.8,26.6,15.2,11.1,4.3,(X),(X),(X),(X),(X),(X)
0400000US41,41,Oregon,(X),3.8,6.0,23.4,25.8,8.7,20.1,12.2,90.2,32.3,25.1,15.1,11.8,5.8,(X),(X),(X),(X),(X),(X)
0400000US42,42,Pennsylvania,(X),3.3,6.8,35.6,16.1,8.2,18.3,11.8,89.9,30.1,25.3,12.4,9.2,4.0,(X),(X),(X),(X),(X),(X)
0400000US44,44,Rhode Island,(X),5.5,7.2,27.9,18.1,8.3,19.8,13.1,87.3,33.0,25.1,12.8,9.8,4.1,(X),(X),(X),(X),(X),(X)
0400000US45,45,South Carolina,(X),4.5,9.0,29.4,20.8,9.3,17.2,9.8,86.5,27.0,30.0,15.5,10.6,4.3,(X),(X),(X),(X),(X),(X)
0400000US46,46,South Dakota,(X),3.4,5.2,30.5,21.8,11.3,19.5,8.3,91.4,27.8,28.9,12.3,9.6,4.1,(X),(X),(X),(X),(X),(X)
0400000US47,47,Tennessee,(X),5.1,8.4,32.6,20.9,7.0,16.5,9.6,86.5,26.1,29.5,15.7,10.5,4.3,(X),(X),(X),(X),(X),(X)
0400000US48,48,Texas,(X),8.7,8.5,25.1,22.1,6.9,18.8,9.9,82.8,28.7,26.7,14.4,9.6,4.2,(X),(X),(X),(X),(X),(X)
0400000US49,49,Utah,(X),2.9,5.4,22.8,26.8,9.7,21.5,11.0,91.8,32.5,19.9,10.5,7.6,4.4,(X),(X),(X),(X),(X),(X)
0400000US50,50,Vermont,(X),2.6,5.2,29.6,17.4,8.5,21.8,15.0,92.3,36.8,22.8,11.4,9.0,4.5,(X),(X),(X),(X),(X),(X)
0400000US51,51,Virginia,(X),4.5,6.5,24.3,19.7,7.5,21.5,16.1,89.0,37.6,21.9,11.9,8.2,3.3,(X),(X),(X),(X),(X),(X)
0400000US53,53,Washington,(X),3.8,5.3,22.5,24.0,9.9,21.7,12.7,90.8,34.5,23.0,12.7,9.9,4.3,(X),(X),(X),(X),(X),(X)
0400000US54,54,West Virginia,(X),4.7,9.4,40.6,18.5,6.9,12.0,7.9,85.9,19.9,29.2,15.3,12.4,4.6,(X),(X),(X),(X),(X),(X)
0400000US55,55,Wisconsin,(X),2.8,5.5,31.3,20.9,10.5,19.2,9.9,91.7,29.0,23.9,10.9,8.6,3.7,(X),(X),(X),(X),(X),(X)
0400000US56,56,Wyoming,(X),1.8,5.4,28.7,26.4,10.9,17.4,9.3,92.8,26.7,20.7,10.7,7.9,3.9,(X),(X),(X),(X),(X),(X)
0400000US72,72,Puerto Rico,(X),16.3,9.0,27.6,12.4,9.8,17.8,7.1,74.7,24.9,62.6,47.8,34.6,14.8,(X),(X),(X),(X),(X),(X)
